id,category,typst,typst_kind,docx,docx_part,typst_to_docx,docx_to_typst,implementation_t2d,implementation_d2t,notes
M0151,Paragraph formatting,par.linebreaks,property,line-breaking application behavior,word/document.xml + styles.xml,approximate,approximate,partial,partial,"Typst and Word use different line-layout algorithms, so pagination can differ even when properties map."
M0152,Paragraph formatting,par.first-line-indent,property,w:ind/@w:firstLine,word/document.xml + styles.xml,exact,exact,full,full,"Typst and Word use different line-layout algorithms, so pagination can differ even when properties map."
M0153,Paragraph formatting,par.hanging-indent,property,w:ind/@w:hanging,word/document.xml + styles.xml,exact,exact,full,full,"Typst and Word use different line-layout algorithms, so pagination can differ even when properties map."
M0154,Paragraph formatting,par.indent,property,w:ind left/right,word/document.xml + styles.xml,high,high,full,full,"Typst and Word use different line-layout algorithms, so pagination can differ even when properties map."
M0155,Paragraph formatting,par.orphan,property,w:widowControl,word/document.xml + styles.xml,approximate,approximate,partial,partial,"Typst and Word use different line-layout algorithms, so pagination can differ even when properties map."
M0156,Paragraph formatting,par.widow,property,w:widowControl,word/document.xml + styles.xml,approximate,approximate,partial,partial,"Typst and Word use different line-layout algorithms, so pagination can differ even when properties map."
M0157,Paragraph formatting,par.keep,property,w:keepLines,word/document.xml + styles.xml,high,high,full,full,"Typst and Word use different line-layout algorithms, so pagination can differ even when properties map."
M0158,Paragraph formatting,par.keep-with-next,property,w:keepNext,word/document.xml + styles.xml,high,high,full,full,"Typst and Word use different line-layout algorithms, so pagination can differ even when properties map."
M0159,Paragraph formatting,par.tabs,property,w:tabs,word/document.xml + styles.xml,high,high,full,full,"Typst and Word use different line-layout algorithms, so pagination can differ even when properties map."
M0160,Paragraph formatting,par.align,property,w:jc,word/document.xml + styles.xml,high,high,full,full,"Typst and Word use different line-layout algorithms, so pagination can differ even when properties map."
M0161,Paragraph formatting,par.direction,property,w:bidi / w:textDirection,word/document.xml + styles.xml,high,high,full,full,"Typst and Word use different line-layout algorithms, so pagination can differ even when properties map."
M0162,Page and layout,page.width / page.height / paper,element/property,w:pgSz,word/document.xml + section/header/footer parts,high,high,full,full,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0163,Page and layout,page.margin,element/property,w:pgMar,word/document.xml + section/header/footer parts,exact,exact,full,full,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0164,Page and layout,page.flipped / landscape,element/property,w:pgSz/@w:orient,word/document.xml + section/header/footer parts,high,high,full,full,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0165,Page and layout,page.columns,element/property,w:cols,word/document.xml + section/header/footer parts,high,high,full,full,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0166,Page and layout,page.header,element/property,header part + w:headerReference,word/document.xml + section/header/footer parts,high,high,full,full,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0167,Page and layout,page.footer,element/property,footer part + w:footerReference,word/document.xml + section/header/footer parts,high,high,full,full,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0168,Page and layout,page.numbering,element/property,w:pgNumType + PAGE field,word/document.xml + section/header/footer parts,high,high,full,full,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0169,Page and layout,page.background / fill,element/property,VML/DrawingML background or page color,word/document.xml + section/header/footer parts,approximate,approximate,partial,preserve,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0170,Page and layout,page.foreground,element/property,header-layer drawing,word/document.xml + section/header/footer parts,approximate,none,partial,none,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0171,Page and layout,page.binding / gutter,element/property,w:pgMar/@w:gutter,word/document.xml + section/header/footer parts,high,high,full,full,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0172,Page and layout,pagebreak,element/property,w:br type=page or pageBreakBefore,word/document.xml + section/header/footer parts,exact,exact,full,full,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0173,Page and layout,colbreak,element/property,w:br type=column,word/document.xml + section/header/footer parts,exact,exact,full,full,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0174,Page and layout,columns,element/property,section columns,word/document.xml + section/header/footer parts,high,high,full,full,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0175,Page and layout,align,element/property,paragraph/table alignment,word/document.xml + section/header/footer parts,high,high,full,full,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0176,Page and layout,block,element/property,paragraph/table container properties,word/document.xml + section/header/footer parts,approximate,approximate,partial,partial,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0177,Page and layout,box,element/property,inline run/drawing/text box,word/document.xml + section/header/footer parts,approximate,approximate,partial,partial,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0178,Page and layout,pad,element/property,indents/cell margins/drawing offsets,word/document.xml + section/header/footer parts,approximate,approximate,partial,partial,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0179,Page and layout,stack,element/property,ordered paragraphs or positioned drawings,word/document.xml + section/header/footer parts,approximate,none,partial,none,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0180,Page and layout,grid,element/property,w:tbl,word/document.xml + section/header/footer parts,high,high,full,full,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0181,Page and layout,place,element/property,wp:anchor positioning,word/document.xml + section/header/footer parts,approximate,approximate,partial,partial,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0182,Page and layout,move,element/property,drawing offset,word/document.xml + section/header/footer parts,approximate,approximate,partial,partial,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0183,Page and layout,rotate,element/property,DrawingML transform,word/document.xml + section/header/footer parts,high,high,partial,preserve,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0184,Page and layout,scale,element/property,DrawingML extent/transform,word/document.xml + section/header/footer parts,high,high,partial,preserve,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0185,Page and layout,skew,element/property,DrawingML transform,word/document.xml + section/header/footer parts,approximate,preserve,partial,preserve,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0186,Page and layout,repeat,element/property,materialized repeated content,word/document.xml + section/header/footer parts,evaluate,none,partial,none,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0187,Page and layout,measure,element/property,no stored Word counterpart,word/document.xml + section/header/footer parts,evaluate,none,none,none,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0188,Page and layout,layout,element/property,materialized layout result,word/document.xml + section/header/footer parts,evaluate,none,preserve,none,Word is flow-layout oriented; arbitrary Typst layout closures and exact coordinates cannot always be reconstructed.
M0189,Visualize,image,element/property,w:drawing + a:blip/pic:pic,word/document.xml + word/media/*,high,high,full,full,The implementation favors portable images/SVG for Typst primitives; original OOXML drawings are retained as raw fragments on reverse conversion.
M0190,Visualize,image.width / height,element/property,wp:extent / a:xfrm,word/document.xml + word/media/*,exact,exact,full,full,The implementation favors portable images/SVG for Typst primitives; original OOXML drawings are retained as raw fragments on reverse conversion.
M0191,Visualize,image.alt,element/property,wp:docPr/@descr,word/document.xml + word/media/*,high,high,full,full,The implementation favors portable images/SVG for Typst primitives; original OOXML drawings are retained as raw fragments on reverse conversion.
M0192,Visualize,image.fit / crop,element/property,a:srcRect + extent,word/document.xml + word/media/*,high,high,full,full,The implementation favors portable images/SVG for Typst primitives; original OOXML drawings are retained as raw fragments on reverse conversion.
M0193,Visualize,image.format PNG/JPEG/GIF/BMP/TIFF/SVG/EMF/WMF/WebP,element/property,media part + image relationship,word/document.xml + word/media/*,high,high,full,full,The implementation favors portable images/SVG for Typst primitives; original OOXML drawings are retained as raw fragments on reverse conversion.
M0194,Visualize,rect / square,element/property,DrawingML shape or generated SVG,word/document.xml + word/media/*,high,approximate,partial,preserve,The implementation favors portable images/SVG for Typst primitives; original OOXML drawings are retained as raw fragments on reverse conversion.
M0195,Visualize,circle / ellipse,element/property,DrawingML shape or generated SVG,word/document.xml + word/media/*,high,approximate,partial,preserve,The implementation favors portable images/SVG for Typst primitives; original OOXML drawings are retained as raw fragments on reverse conversion.
M0196,Visualize,line,element/property,DrawingML line or generated SVG,word/document.xml + word/media/*,high,approximate,partial,preserve,The implementation favors portable images/SVG for Typst primitives; original OOXML drawings are retained as raw fragments on reverse conversion.
M0197,Visualize,polygon,element/property,freeform geometry or generated SVG,word/document.xml + word/media/*,high,approximate,partial,preserve,The implementation favors portable images/SVG for Typst primitives; original OOXML drawings are retained as raw fragments on reverse conversion.
M0198,Visualize,curve / path,element/property,DrawingML custom geometry or SVG,word/document.xml + word/media/*,approximate,preserve,partial,preserve,The implementation favors portable images/SVG for Typst primitives; original OOXML drawings are retained as raw fragments on reverse conversion.
M0199,Visualize,stroke,element/property,a:ln / Word borders,word/document.xml + word/media/*,high,high,partial,partial,The implementation favors portable images/SVG for Typst primitives; original OOXML drawings are retained as raw fragments on reverse conversion.
M0200,Visualize,fill color,element/property,a:solidFill / w:shd,word/document.xml + word/media/*,high,high,full,full,The implementation favors portable images/SVG for Typst primitives; original OOXML drawings are retained as raw fragments on reverse conversion.
M0201,Visualize,gradient,element/property,a:gradFill,word/document.xml + word/media/*,high,high,partial,preserve,The implementation favors portable images/SVG for Typst primitives; original OOXML drawings are retained as raw fragments on reverse conversion.
M0202,Visualize,pattern / tiling,element/property,a:pattFill / image fill,word/document.xml + word/media/*,approximate,approximate,partial,preserve,The implementation favors portable images/SVG for Typst primitives; original OOXML drawings are retained as raw fragments on reverse conversion.
M0203,Visualize,clip,element/property,a:srcRect/custom geometry,word/document.xml + word/media/*,approximate,preserve,partial,preserve,The implementation favors portable images/SVG for Typst primitives; original OOXML drawings are retained as raw fragments on reverse conversion.
M0204,Visualize,opacity,element/property,a:alpha,word/document.xml + word/media/*,high,high,partial,preserve,The implementation favors portable images/SVG for Typst primitives; original OOXML drawings are retained as raw fragments on reverse conversion.
M0205,Mathematics,equation,math syntax/function,m:oMath / m:oMathPara,word/document.xml (OMML),high,high,full,full,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0206,Mathematics,frac,math syntax/function,m:f,word/document.xml (OMML),high,high,full,full,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0207,Mathematics,binom,math syntax/function,m:f with noBar,word/document.xml (OMML),high,high,full,full,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0208,Mathematics,sqrt / root,math syntax/function,m:rad,word/document.xml (OMML),high,high,full,full,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0209,Mathematics,super / sub / attach,math syntax/function,m:sSup / m:sSub / m:sSubSup / m:sPre,word/document.xml (OMML),high,high,full,full,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0210,Mathematics,limits,math syntax/function,m:limLow / m:limUpp / m:nary limits,word/document.xml (OMML),high,high,full,full,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0211,Mathematics,sum / product / integral / big operators,math syntax/function,m:nary,word/document.xml (OMML),high,high,full,full,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0212,Mathematics,lr delimiters,math syntax/function,m:d,word/document.xml (OMML),high,high,full,full,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0213,Mathematics,matrix / vector,math syntax/function,m:m,word/document.xml (OMML),high,high,full,full,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0214,Mathematics,cases / equation array,math syntax/function,m:eqArr or matrix,word/document.xml (OMML),high,high,full,full,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0215,Mathematics,accent,math syntax/function,m:acc,word/document.xml (OMML),high,high,full,full,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0216,Mathematics,overline / underline,math syntax/function,m:bar,word/document.xml (OMML),high,high,full,full,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0217,Mathematics,overbrace / underbrace,math syntax/function,m:groupChr,word/document.xml (OMML),high,high,full,full,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0218,Mathematics,operator/function,math syntax/function,m:func,word/document.xml (OMML),high,high,full,full,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0219,Mathematics,phantom/hide,math syntax/function,m:phant,word/document.xml (OMML),high,high,full,full,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0220,Mathematics,math text,math syntax/function,m:r / m:t,word/document.xml (OMML),high,high,full,full,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0221,Mathematics,math alignment points,math syntax/function,m:eqArr alignment / run layout,word/document.xml (OMML),approximate,approximate,partial,partial,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0222,Mathematics,math font variants,math syntax/function,m:sty / m:scr / m:nor,word/document.xml (OMML),approximate,approximate,partial,partial,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0223,Mathematics,math spacing,math syntax/function,m:ctrlPr and run spacing,word/document.xml (OMML),approximate,approximate,partial,partial,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0224,Mathematics,math numbering/label,math syntax/function,SEQ field/bookmark beside equation,word/document.xml (OMML),high,high,full,full,The converter includes an OMML parser/emitter and preserves unrecognized OMML as compressed raw XML.
M0225,Introspection,counter,contextual function,PAGE/NUMPAGES/SEQ fields or numbering state,word/document.xml,evaluate,approximate,partial,partial,Built-in page and sequence counters map to fields; arbitrary custom counters require Typst execution.
M0226,Introspection,counter.get,contextual function,PAGE/NUMPAGES/SEQ fields or numbering state,word/document.xml,evaluate,approximate,partial,partial,Built-in page and sequence counters map to fields; arbitrary custom counters require Typst execution.
M0227,Introspection,counter.at,contextual function,PAGE/NUMPAGES/SEQ fields or numbering state,word/document.xml,evaluate,approximate,partial,partial,Built-in page and sequence counters map to fields; arbitrary custom counters require Typst execution.
M0228,Introspection,counter.display,contextual function,PAGE/NUMPAGES/SEQ fields or numbering state,word/document.xml,evaluate,approximate,partial,partial,Built-in page and sequence counters map to fields; arbitrary custom counters require Typst execution.
M0229,Introspection,counter.final,contextual function,PAGE/NUMPAGES/SEQ fields or numbering state,word/document.xml,evaluate,approximate,partial,partial,Built-in page and sequence counters map to fields; arbitrary custom counters require Typst execution.
M0230,Introspection,counter.update,contextual function,PAGE/NUMPAGES/SEQ fields or numbering state,word/document.xml,evaluate,approximate,partial,partial,Built-in page and sequence counters map to fields; arbitrary custom counters require Typst execution.
M0231,Introspection,state,contextual function,no native Word state machine,customXml/typx-source.xml,evaluate,none,preserve,none,State is source computation and is retained in the embedded source.
M0232,Introspection,state.get,contextual function,no native Word state machine,customXml/typx-source.xml,evaluate,none,preserve,none,State is source computation and is retained in the embedded source.
M0233,Introspection,state.at,contextual function,no native Word state machine,customXml/typx-source.xml,evaluate,none,preserve,none,State is source computation and is retained in the embedded source.
M0234,Introspection,state.final,contextual function,no native Word state machine,customXml/typx-source.xml,evaluate,none,preserve,none,State is source computation and is retained in the embedded source.
M0235,Introspection,state.update,contextual function,no native Word state machine,customXml/typx-source.xml,evaluate,none,preserve,none,State is source computation and is retained in the embedded source.
M0236,Introspection,query,contextual function/type,materialized result; bookmarks/fields for selected cases,document.xml + customXml,evaluate,none,preserve,none,"Word stores the result, not a general query over semantic Typst elements."
M0237,Introspection,selector,contextual function/type,materialized result; bookmarks/fields for selected cases,document.xml + customXml,evaluate,none,preserve,none,"Word stores the result, not a general query over semantic Typst elements."
M0238,Introspection,within,contextual function/type,materialized result; bookmarks/fields for selected cases,document.xml + customXml,evaluate,none,preserve,none,"Word stores the result, not a general query over semantic Typst elements."
M0239,Introspection,here,contextual function/type,materialized result; bookmarks/fields for selected cases,document.xml + customXml,evaluate,none,preserve,none,"Word stores the result, not a general query over semantic Typst elements."
M0240,Introspection,locate,contextual function/type,materialized result; bookmarks/fields for selected cases,document.xml + customXml,evaluate,none,preserve,none,"Word stores the result, not a general query over semantic Typst elements."
M0241,Introspection,location,contextual function/type,materialized result; bookmarks/fields for selected cases,document.xml + customXml,evaluate,none,preserve,none,"Word stores the result, not a general query over semantic Typst elements."
M0242,Introspection,context,contextual function/type,materialized result; bookmarks/fields for selected cases,document.xml + customXml,evaluate,none,preserve,none,"Word stores the result, not a general query over semantic Typst elements."
M0243,Data loading,read,function,external file result,customXml/* / word/document.xml,evaluate,none,partial,none,Static local includes/assets are read; arbitrary data transformations require the Typst engine.
M0244,Data loading,csv,function,table/text generated from CSV,customXml/* / word/document.xml,evaluate,none,partial,none,Static local includes/assets are read; arbitrary data transformations require the Typst engine.
M0245,Data loading,json,function,materialized result or custom XML,customXml/* / word/document.xml,evaluate,none,partial,none,Static local includes/assets are read; arbitrary data transformations require the Typst engine.
M0246,Data loading,yaml,function,materialized result,customXml/* / word/document.xml,evaluate,none,partial,none,Static local includes/assets are read; arbitrary data transformations require the Typst engine.
M0247,Data loading,toml,function,materialized result,customXml/* / word/document.xml,evaluate,none,partial,none,Static local includes/assets are read; arbitrary data transformations require the Typst engine.
M0248,Data loading,xml,function,customXml or materialized result,customXml/* / word/document.xml,evaluate,none,partial,none,Static local includes/assets are read; arbitrary data transformations require the Typst engine.
M0249,Data loading,cbor,function,materialized result,customXml/* / word/document.xml,evaluate,none,partial,none,Static local includes/assets are read; arbitrary data transformations require the Typst engine.
M0250,Data loading,bibliography file,function,bibliography sources/fields,customXml/* / word/document.xml,approximate,none,partial,none,Static local includes/assets are read; arbitrary data transformations require the Typst engine.
M0251,Export-specific,pdf.artifact,element/configuration,decorative/accessibility flag,package-specific,approximate,none,partial,none,Export-target controls do not generally have a WordprocessingML semantic equivalent and are preserved in source.
M0252,Export-specific,pdf.attach,element/configuration,OPC embedded package or OLE attachment,package-specific,approximate,none,partial,none,Export-target controls do not generally have a WordprocessingML semantic equivalent and are preserved in source.
M0253,Export-specific,pdf.embed,element/configuration,embedded file/object,package-specific,approximate,none,partial,none,Export-target controls do not generally have a WordprocessingML semantic equivalent and are preserved in source.
M0254,Export-specific,PDF standards configuration,element/configuration,no DOCX counterpart,package-specific,none,none,none,none,Export-target controls do not generally have a WordprocessingML semantic equivalent and are preserved in source.
M0255,Export-specific,HTML element,element/configuration,Word content or altChunk HTML,package-specific,approximate,none,partial,none,Export-target controls do not generally have a WordprocessingML semantic equivalent and are preserved in source.
M0256,Export-specific,html.frame,element/configuration,SVG/image fallback,package-specific,approximate,none,partial,none,Export-target controls do not generally have a WordprocessingML semantic equivalent and are preserved in source.
M0257,Export-specific,bundle,element/configuration,multiple OPC parts/resources but not multi-output semantics,package-specific,none,none,none,none,Export-target controls do not generally have a WordprocessingML semantic equivalent and are preserved in source.
M0258,Foundations / functions,arguments,function/type family,function argument bundle,multiple parts or no persistent part,evaluate,none,partial,none,Computational definitions do not survive as executable programs in DOCX. Static results are converted and the original source is available through exact-roundtrip embedding.
M0259,Foundations / functions,assert / assert.eq / assert.ne,function/type family,no document node; conversion-time diagnostic,multiple parts or no persistent part,none,none,none,none,Computational definitions do not survive as executable programs in DOCX. Static results are converted and the original source is available through exact-roundtrip embedding.
M0260,Foundations / functions,calc and numeric calculation functions,function/type family,materialized numeric property or text,multiple parts or no persistent part,evaluate,none,partial,none,Computational definitions do not survive as executable programs in DOCX. Static results are converted and the original source is available through exact-roundtrip embedding.
M0261,Foundations / functions,eval,function/type family,materialized result plus embedded source,multiple parts or no persistent part,evaluate,none,partial,none,Computational definitions do not survive as executable programs in DOCX. Static results are converted and the original source is available through exact-roundtrip embedding.
M0262,Foundations / functions,panic,function/type family,no document node; evaluation failure,multiple parts or no persistent part,none,none,none,none,Computational definitions do not survive as executable programs in DOCX. Static results are converted and the original source is available through exact-roundtrip embedding.
M0263,Foundations / functions,path,function/type family,"OPC part URI, relationship target, or source asset path",multiple parts or no persistent part,approximate,none,partial,none,Computational definitions do not survive as executable programs in DOCX. Static results are converted and the original source is available through exact-roundtrip embedding.
M0264,Foundations / functions,repr,function/type family,materialized diagnostic text,multiple parts or no persistent part,evaluate,none,partial,none,Computational definitions do not survive as executable programs in DOCX. Static results are converted and the original source is available through exact-roundtrip embedding.
M0265,Foundations / functions,standard library namespace,function/type family,no document node,multiple parts or no persistent part,none,none,none,none,Computational definitions do not survive as executable programs in DOCX. Static results are converted and the original source is available through exact-roundtrip embedding.
M0266,Foundations / functions,symbol,function/type family,"Unicode scalar, symbol-font run, or drawing",multiple parts or no persistent part,high,none,partial,none,Computational definitions do not survive as executable programs in DOCX. Static results are converted and the original source is available through exact-roundtrip embedding.
M0267,Foundations / functions,sys,function/type family,core/app properties for selected values; otherwise no counterpart,multiple parts or no persistent part,evaluate,none,partial,none,Computational definitions do not survive as executable programs in DOCX. Static results are converted and the original source is available through exact-roundtrip embedding.
M0268,Foundations / functions,target,function/type family,DOCX export target metadata only,multiple parts or no persistent part,approximate,none,partial,none,Computational definitions do not survive as executable programs in DOCX. Static results are converted and the original source is available through exact-roundtrip embedding.
M0269,Foundations / functions,plugin invocation,function/type family,materialized result plus embedded source,multiple parts or no persistent part,evaluate,none,partial,none,Computational definitions do not survive as executable programs in DOCX. Static results are converted and the original source is available through exact-roundtrip embedding.
M0270,Document model / reference inventory,asset,element,OPC part plus relationship and content type,word/document.xml and related parts,high,high,full,full,This row uses the canonical name shown in the Typst 0.15.1 reference; related syntax and detailed properties are mapped elsewhere in the matrix.
M0271,Document model / reference inventory,title,element,core title property and Title paragraph style,word/document.xml and related parts,high,high,full,full,This row uses the canonical name shown in the Typst 0.15.1 reference; related syntax and detailed properties are mapped elsewhere in the matrix.
M0272,Document model / reference inventory,bullet-list,element,w:numPr bullet numbering,word/document.xml and related parts,high,high,full,full,This row uses the canonical name shown in the Typst 0.15.1 reference; related syntax and detailed properties are mapped elsewhere in the matrix.
M0273,Document model / reference inventory,numbered-list,element,w:numPr numeric numbering,word/document.xml and related parts,high,high,full,full,This row uses the canonical name shown in the Typst 0.15.1 reference; related syntax and detailed properties are mapped elsewhere in the matrix.
M0274,Document model / reference inventory,paragraph-break,element,w:p boundary,word/document.xml and related parts,exact,exact,full,full,This row uses the canonical name shown in the Typst 0.15.1 reference; related syntax and detailed properties are mapped elsewhere in the matrix.
M0275,Document model / reference inventory,reference,element,REF/PAGEREF/NOTEREF field or hyperlink,word/document.xml and related parts,high,high,full,full,This row uses the canonical name shown in the Typst 0.15.1 reference; related syntax and detailed properties are mapped elsewhere in the matrix.
M0276,Document model / reference inventory,strong-emphasis,element,w:b,word/document.xml and related parts,exact,exact,full,full,This row uses the canonical name shown in the Typst 0.15.1 reference; related syntax and detailed properties are mapped elsewhere in the matrix.
M0277,Document model / reference inventory,emphasis,element,w:i,word/document.xml and related parts,exact,exact,full,full,This row uses the canonical name shown in the Typst 0.15.1 reference; related syntax and detailed properties are mapped elsewhere in the matrix.
M0278,Document model / reference inventory,term-list,element,definition-style paragraphs or two-column table,word/document.xml and related parts,approximate,approximate,full,partial,This row uses the canonical name shown in the Typst 0.15.1 reference; related syntax and detailed properties are mapped elsewhere in the matrix.
M0279,Text / reference inventory,lorem,element/function,materialized generated text,word/document.xml,evaluate,none,partial,none,"Word stores characters and run properties, not Typst's text-producing function call."
M0280,Text / reference inventory,lower,element/function,materialized lowercase text,word/document.xml,high,approximate,full,partial,"Word stores characters and run properties, not Typst's text-producing function call."
M0281,Text / reference inventory,upper,element/function,materialized uppercase text or w:caps,word/document.xml,high,approximate,full,partial,"Word stores characters and run properties, not Typst's text-producing function call."
M0282,Text / reference inventory,raw,element/function,Code style run/paragraph with literal text,word/document.xml,high,high,full,full,"Word stores characters and run properties, not Typst's text-producing function call."
M0283,Text / reference inventory,smartquote,element/function,literal typographic quote characters,word/document.xml,high,approximate,partial,partial,"Word stores characters and run properties, not Typst's text-producing function call."
M0284,Mathematics / reference inventory,cancel,math function,m:borderBox strikeH/strikeTLBR/strikeBLTR,word/document.xml (OMML),high,high,partial,partial,OMML and Typst math have different spacing and font-class models; unknown nodes are retained as raw OMML.
M0285,Mathematics / reference inventory,math.class,math function,OMML spacing class inferred from operator/run context,word/document.xml (OMML),approximate,none,partial,none,OMML and Typst math have different spacing and font-class models; unknown nodes are retained as raw OMML.
M0286,Mathematics / reference inventory,primes,math function,m:sSup or literal prime run,word/document.xml (OMML),high,high,full,full,OMML and Typst math have different spacing and font-class models; unknown nodes are retained as raw OMML.
M0287,Mathematics / reference inventory,math.size,math function,m:argSz and run size,word/document.xml (OMML),approximate,approximate,partial,partial,OMML and Typst math have different spacing and font-class models; unknown nodes are retained as raw OMML.
M0288,Mathematics / reference inventory,math.stretch,math function,m:d/m:nary growth and DrawingML sizing,word/document.xml (OMML),approximate,approximate,partial,partial,OMML and Typst math have different spacing and font-class models; unknown nodes are retained as raw OMML.
M0289,Mathematics / reference inventory,math.style,math function,"m:sty, m:scr, m:nor, and run properties",word/document.xml (OMML),high,high,partial,partial,OMML and Typst math have different spacing and font-class models; unknown nodes are retained as raw OMML.
M0290,Mathematics / reference inventory,math.variant,math function,m:sty/m:scr and Unicode mathematical alphabets,word/document.xml (OMML),approximate,approximate,partial,partial,OMML and Typst math have different spacing and font-class models; unknown nodes are retained as raw OMML.
M0291,Symbols,sym general symbols,module/value,"Unicode text, symbol-font run, or DrawingML fallback",word/document.xml + fonts/media,high,high,full,full,Actual appearance depends on installed fonts and the Word/Typst shaping engines.
M0292,Symbols,emoji,module/value,"Unicode emoji run, color-font glyph, or image fallback",word/document.xml + fonts/media,high,high,full,full,Actual appearance depends on installed fonts and the Word/Typst shaping engines.
M0293,Layout / reference inventory,alignment,value/element,"w:jc, table alignment, anchor alignment",word/document.xml,high,high,full,full,"Dimensions can be stored in multiple OOXML unit systems; relative layout may require resolving against a page, column, cell, or drawing frame."
M0294,Layout / reference inventory,angle,value/element,DrawingML rotation in 1/60000 degree units,word/document.xml,high,high,full,full,"Dimensions can be stored in multiple OOXML unit systems; relative layout may require resolving against a page, column, cell, or drawing frame."
M0295,Layout / reference inventory,direction,value/element,"w:bidi, w:rtl, w:textDirection",word/document.xml,high,high,full,full,"Dimensions can be stored in multiple OOXML unit systems; relative layout may require resolving against a page, column, cell, or drawing frame."
M0296,Layout / reference inventory,fraction (layout),value/element,table/grid width fractions after resolution,word/document.xml,evaluate,none,partial,none,"Dimensions can be stored in multiple OOXML unit systems; relative layout may require resolving against a page, column, cell, or drawing frame."
M0297,Layout / reference inventory,length,value/element,"twips, EMUs, half-points, percentages",word/document.xml,high,high,full,full,"Dimensions can be stored in multiple OOXML unit systems; relative layout may require resolving against a page, column, cell, or drawing frame."
M0298,Layout / reference inventory,ratio,value/element,percentage or resolved dimension,word/document.xml,high,approximate,full,partial,"Dimensions can be stored in multiple OOXML unit systems; relative layout may require resolving against a page, column, cell, or drawing frame."
M0299,Layout / reference inventory,relative length,value/element,resolved length or percentage,word/document.xml,approximate,approximate,partial,partial,"Dimensions can be stored in multiple OOXML unit systems; relative layout may require resolving against a page, column, cell, or drawing frame."
